UnixTimeStamp,price,forecast,forecastLow,forecastHigh
1438214400,0,,,
1438300800,0,,,
1438387200,0,,,
1438473600,0,,,
1438560000,0,,,
1438646400,0,,,
1438732800,0,,,
1438819200,0,,,
1438905600,2.77,,,
1438992000,0.81,,,
1439078400,0.74,,,
1439164800,0.68,,,
1439251200,1.06,,,
1439337600,1.25,,,
1439424000,1.78,,,
1439510400,1.8,,,
1439596800,1.79,,,
1439683200,1.37,,,
1439769600,1.2,,,
1439856000,1.27,,,
1439942400,1.26,,,
1440028800,1.48,,,
1440115200,1.44,,,
1440201600,1.39,,,
1440288000,1.35,,,
1440374400,1.24,,,
1440460800,1.17,,,
1440547200,1.16,,,
1440633600,1.13,,,
1440720000,1.3,,,
1440806400,1.18,,,
1440892800,1.32,,,
1440979200,1.35,,,
1441065600,1.35,,,
1441152000,1.29,,,
1441238400,1.26,,,
1441324800,1.27,,,
1441411200,1.37,,,
1441497600,1.3,,,
1441584000,1.24,,,
1441670400,1.23,,,
1441756800,1.21,,,
1441843200,1.16,,,
1441929600,0.98,,,
1442016000,1.04,,,
1442102400,0.94,,,
1442188800,0.87,,,
1442275200,0.94,,,
1442361600,0.9,,,
1442448000,0.89,,,
1442534400,0.85,,,
1442620800,0.89,,,
1442707200,0.94,,,
1442793600,0.9,,,
1442880000,0.9,,,
1442966400,0.9,,,
1443052800,0.81,,,
1443139200,0.74,,,
1443225600,0.78,,,
1443312000,0.72,,,
1443398400,0.59,,,
1443484800,0.68,,,
1443571200,0.72,,,
1443657600,0.68,,,
1443744000,0.68,,,
1443830400,0.69,,,
1443916800,0.67,,,
1444003200,0.63,,,
1444089600,0.66,,,
1444176000,0.61,,,
1444262400,0.62,,,
1444348800,0.65,,,
1444435200,0.63,,,
1444521600,0.63,,,
1444608000,0.63,,,
1444694400,0.6,,,
1444780800,0.51,,,
1444867200,0.56,,,
1444953600,0.53,,,
1445040000,0.55,,,
1445126400,0.52,,,
1445212800,0.49,,,
1445299200,0.44,,,
1445385600,0.44,,,
1445472000,0.59,,,
1445558400,0.52,,,
1445644800,0.57,,,
1445731200,0.65,,,
1445817600,0.74,,,
1445904000,0.87,,,
1445990400,1.01,,,
1446076800,1.16,,,
1446163200,1.04,,,
1446249600,0.89,,,
1446336000,1.05,,,
1446422400,0.96,,,
1446508800,1,,,
1446595200,0.87,,,
1446681600,0.89,,,
1446768000,0.92,,,
1446854400,0.92,,,
