UnixTimeStamp,Value
1438214400,11.5297
1438300800,51.4594
1438387200,57.7845
1438473600,67.9224
1438560000,74.5737
1438646400,82.0352
1438732800,86.1558
1438819200,88.3326
1438905600,95.2981
1438992000,104.8971
1439078400,109.6916
1439164800,120.5988
1439251200,134.7695
1439337600,143.0004
1439424000,156.6101
1439510400,196.7576
1439596800,227.665
1439683200,231.8948
1439769600,258.9066
1439856000,270.4645
1439942400,284.0496
1440028800,221.4382
1440115200,277.282
1440201600,312.6127
1440288000,317.1623
1440374400,333.3458
1440460800,325.2465
1440547200,343.1277
1440633600,341.1168
1440720000,355.2287
1440806400,351.453
1440892800,340.144
1440979200,359.3523
1441065600,363.4134
1441152000,355.9032
1441238400,339.3088
1441324800,350.0661
1441411200,374.917
1441497600,388.4451
1441584000,379.8349
1441670400,370.7395
1441756800,386.1935
1441843200,392.0801
1441929600,421.6556
1442016000,424.2721
1442102400,432.7014
1442188800,399.6471
1442275200,387.7858
1442361600,383.9057
1442448000,362.1457
1442534400,346.2296
1442620800,357.5566
1442707200,408.748
1442793600,409.9779
1442880000,410.0917
1442966400,438.8619
1443052800,436.2345
1443139200,443.497
1443225600,440.6371
1443312000,426.444
1443398400,391.4721
1443484800,347.3122
1443571200,332.8925
1443657600,365.2783
1443744000,378.4969
1443830400,390.9186
1443916800,371.1233
1444003200,385.5859
1444089600,368.4521
1444176000,366.9765
1444262400,375.1336
1444348800,364.9485
1444435200,360.6383
1444521600,381.8711
1444608000,386.3386
1444694400,397.9554
1444780800,394.1999
1444867200,372.9212
1444953600,347.0096
1445040000,373.0388
1445126400,362.4454
1445212800,360.9165
1445299200,359.4184
1445385600,358.9999
1445472000,341.149
1445558400,380.6258
1445644800,400.8051
1445731200,415.4128
1445817600,399.276
1445904000,423.6995
1445990400,425.0888
1446076800,457.198
1446163200,485.0091
1446249600,512.5808
1446336000,520.7818
1446422400,494.4047
1446508800,480.1956
1446595200,508.4657
1446681600,489.3514
1446768000,491.3861
1446854400,478.1613
1446940800,498.873
1447027200,496.5674
1447113600,505.3881
1447200000,508.885
1447286400,517.4888
1447372800,528.3143
1447459200,534.8715
1447545600,550.2513
1447632000,541.2585
1447718400,535.801
1447804800,550.5812
1447891200,552.7532
1447977600,472.9611
1448064000,480.0484
1448150400,480.251
1448236800,487.9382
1448323200,486.5758
1448409600,470.151
1448496000,470.857
1448582400,492.9653
1448668800,498.5437
1448755200,500.4669
1448841600,503.9533
1448928000,514.3284
1449014400,481.8385
1449100800,504.3068
1449187200,493.1904
1449273600,511.9346
1449360000,487.6672
1449446400,483.681
1449532800,469.5651
1449619200,494.265
1449705600,504.7793
1449792000,514.5903
1449878400,517.9029
1449964800,556.8745
1450051200,541.3528
1450137600,559.704
1450224000,534.0622
1450310400,553.9679
1450396800,552.1806
1450483200,548.8488
1450569600,533.1539
1450656000,531.4617
1450742400,564.9776
1450828800,552.9946
1450915200,539.4988
1451001600,539.1713
1451088000,529.3583
1451174400,545.346
1451260800,545.0927
1451347200,542.2221
1451433600,534.5552
1451520000,542.7166
1451606400,526.2007
1451692800,528.0765
1451779200,544.8281
1451865600,541.3346
1451952000,548.8214
1452038400,552.2518
1452124800,526.3401
1452211200,550.7067
1452297600,551.6457
1452384000,538.0286
1452470400,561.5707
1452556800,541.1136
1452643200,530.6222
1452729600,553.7419
1452816000,567.1537
1452902400,574.0822
1452988800,568.3259
1453075200,591.419
1453161600,584.904
1453248000,588.1518
1453334400,584.1308
1453420800,610.6596
1453507200,608.8656
1453593600,650.5701
1453680000,624.8285
1453766400,672.8732
1453852800,663.7333
1453939200,652.1991
1454025600,670.1196
1454112000,668.8032
1454198400,646.7083
1454284800,679.1845
1454371200,648.4793
1454457600,696.9209
1454544000,694.2255
1454630400,698.6372
1454716800,674.6478
1454803200,693.3343
1454889600,723.2448
1454976000,699.4473
1455062400,718.0474
